perturbation_label	drug_name
[('ERK5-IN-2', 0.05, 'uM')]	ERK5-IN-2
[('ERK5-IN-2', 0.5, 'uM')]	ERK5-IN-2
[('ERK5-IN-2', 5.0, 'uM')]	ERK5-IN-2
[('ETC-206', 0.05, 'uM')]	ETC-206
[('ETC-206', 0.5, 'uM')]	ETC-206
[('ETC-206', 5.0, 'uM')]	ETC-206
[('EX229', 0.05, 'uM')]	EX229
[('EX229', 0.5, 'uM')]	EX229
[('EX229', 5.0, 'uM')]	EX229
[('Econazole', 0.05, 'uM')]	Econazole
[('Econazole', 0.5, 'uM')]	Econazole
[('Econazole', 5.0, 'uM')]	Econazole
[('Edoxaban (tosylate monohydrate)', 0.05, 'uM')]	Edoxaban (tosylate monohydrate)
[('Edoxaban (tosylate monohydrate)', 0.5, 'uM')]	Edoxaban (tosylate monohydrate)
[('Edoxaban (tosylate monohydrate)', 5.0, 'uM')]	Edoxaban (tosylate monohydrate)
[('Elagolix sodium', 0.05, 'uM')]	Elagolix sodium
[('Elagolix sodium', 0.5, 'uM')]	Elagolix sodium
[('Elagolix sodium', 5.0, 'uM')]	Elagolix sodium
[('Elimusertib hydrochloride', 0.05, 'uM')]	Elimusertib hydrochloride
[('Elimusertib hydrochloride', 0.5, 'uM')]	Elimusertib hydrochloride
[('Elimusertib hydrochloride', 5.0, 'uM')]	Elimusertib hydrochloride
[('Encorafenib', 0.05, 'uM')]	Encorafenib
[('Encorafenib', 0.5, 'uM')]	Encorafenib
[('Encorafenib', 5.0, 'uM')]	Encorafenib
[('Entecavir (monohydrate)', 0.05, 'uM')]	Entecavir (monohydrate)
[('Entecavir (monohydrate)', 0.5, 'uM')]	Entecavir (monohydrate)
[('Entecavir (monohydrate)', 5.0, 'uM')]	Entecavir (monohydrate)
[('Entrectinib', 0.05, 'uM')]	Entrectinib
[('Entrectinib', 0.5, 'uM')]	Entrectinib
[('Entrectinib', 5.0, 'uM')]	Entrectinib
[('Epirubicin (hydrochloride)', 0.05, 'uM')]	Epirubicin (hydrochloride)
[('Epirubicin (hydrochloride)', 0.5, 'uM')]	Epirubicin (hydrochloride)
[('Epirubicin (hydrochloride)', 5.0, 'uM')]	Epirubicin (hydrochloride)
[('Eplerenone', 0.05, 'uM')]	Eplerenone
[('Eplerenone', 0.5, 'uM')]	Eplerenone
[('Eplerenone', 5.0, 'uM')]	Eplerenone
[('Erdafitinib ', 0.05, 'uM')]	Erdafitinib 
[('Erdafitinib ', 0.5, 'uM')]	Erdafitinib 
[('Erdafitinib ', 5.0, 'uM')]	Erdafitinib 
